,roles,companies,experience,locations,skills
430,Data Engineer,Micron,3-5 Years,Hyderabad / Secunderabad,"  Engineer , Developer , Computer Science , Technology , Engineering , Database"
431,Director Business Analytics & Insights,Microsoft,12-15 Years,"Hyderabad / Secunderabad, India","  Engineer , Developer , Computer Science , Technology , Engineering , Database"
432,Data Engineer,Micron Semiconductor Asia Operations Pte. Ltd,3-5 Years,"Hyderabad / Secunderabad, India",  Data Engineer
433,Cloud Solution Architect | Springboard Program,Microsoft,Not Specified,"Bengaluru / Bangalore, India",  Data Engineer
434,Global Medical Data Analyst,GlaxoSmithKline Pte Ltd,5-8 Years,"Bengaluru / Bangalore, India",  Data Engineer
435,Cloud Solution Architect,Microsoft,Not Specified,"Bengaluru / Bangalore, India",  Data Engineer
436,Field Application Scientist,ABC Consultants Private Limited,2-9 Years,Faridabad,"  Field Application Scientist , Fas , sequencing , NGS , Troubleshooting , Genomics"
437,Data Science Consultant,IBM,5-8 Years,Mumbai,"  Data Science Consultant , Banking Products , performance measures , R , It Consulting"
438,Analytic Consultant,Wells Fargo,3-6 Years,Bengaluru / Bangalore,"  Data Science Consultant , Banking Products , performance measures , R , It Consulting"
439,Data Engineer,Oracle,5-8 Years,Bengaluru / Bangalore,  Data Engineer
440,"Manager, People Analytics",Micron,5-10 Years,Hyderabad / Secunderabad,"  Data Analyst , Analytics , Warehouse , Engineer , Data , Management , Manufacturing"
441,Data Engineer,Oracle,5-8 Years,Bengaluru / Bangalore,  Data Engineer
442,"Manager, People Analytics",Micron Semiconductor Asia Operations Pte. Ltd,5-10 Years,"Hyderabad / Secunderabad, India","  Manager , People Analytics"
443,"BIG DATA ENGINEER, SMART MFG & AI",Micron Semiconductor Asia Operations Pte. Ltd,0-7 Years,"Hyderabad / Secunderabad, India","  BIG DATA ENGINEER , SMART MFG & AI"
444,"Advisor, Business Intelligence",DELL,8-11 Years,Bengaluru / Bangalore,"  Advisor , Business Intelligence , data , automating , Data Engineer"
445,Business Analyst - SQL Developer,Genpact,Not Specified,Bengaluru / Bangalore,"  Business Analyst - SQL Developer , Operations"
446,Research Scientist,Yashodha S M (Proprietor Of Co Inter Technology),0-5 Years,"Mumbai, Mumbai City","  Research Scientist , Quality Control , Product Quality"
447,Big Data Architect,IBM,Fresher,Mumbai,"  Analysis , IT , Software , Big Data Architect , Big Data , Information Technology"
448,Research Scientist,Atish Arun Sonune (Proprietor Of Tata Techno Solution),0-2 Years,Bengaluru / Bangalore,  Research Scientist
449,BizOps Senior Specialist - Senior Associate,Markit HIS,5-10 Years,Gurgaon / Gurugram,  Research Scientist
450,BizOps Senior Specialist - Senior Associate,Markit HIS,5-10 Years,Gurgaon / Gurugram,  Research Scientist
451,BizOps Analysis Specialist,Markit HIS,7-10 Years,Gurgaon / Gurugram,"  BizOps Analysis Specialist , Regulatory Compliance , Data Management"
452,BizOps Analysis Specialist,Markit HIS,5-7 Years,Gurgaon / Gurugram,"  BizOps Analysis Specialist , Regulatory Compliance , Data Management"
453,Data Science/ML - Senior Associate - PwC Labs,PwC,6-9 Years,Bengaluru / Bangalore,  Technology Strategy
454,"Data Analyst , Senior Data Analyst , Data Analyst - Tech Lead",Company Name Confidential,0-5 Years,"Bengaluru / Bangalore, Mumbai","  Data Analyst , Tech Lead"
455,Data Typing work From Home - Data Entry job,Company Name Confidential,0-5 Years,"Guwahati, Patna","  Data Processing , Data Entry , bacj office , Data Typing , Back End , data entry in india"
456,Data Analyst Required In Canada,Cloud Visa Immigration LLP,2-7 Years,"Australia, Canada","  Data Analyst , Reporting Analyst , Mis Executive , MIS Analyst , Data Entry , Research Analyst"
457,Data Entry Operation,Company Name Confidential,0-2 Years,"Hyderabad / Secunderabad, Mumbai City","  Form Filling , Online Data Entry , Data Processing , Bpo Non Voice , Home Based Business"
458,Data Entry Operator,Minda Solution Tech Mark,0-2 Years,Bengaluru / Bangalore,"  Data Entry Operator , Data Entry , Office Assistant , Back Office , DEO , Back Office Executive"
459,Data Entry Operator,Smart Solution,0-5 Years,"Cochin / Kochi / Ernakulam, Vijayawada","  Typing Speed , Typing , Data Entry , Shorthand , Data Entry Operator , Typewriting"
460,Work From Home Online Data Entry Data Entry Operator Data Entry Jobs Work From Home Jobs Data Entry,Company Name Confidential,0-5 Years,"Hyderabad / Secunderabad, Kolkata","  Data Entry , Back Office , Non voice , Backend , Back Office Executive , Office Assistant"
461,Database Analysts and Data Administrators Req in Canada OINP,I2canz Outsourcing Private Limited,2-10 Years,"Australia, Canada","  Database Administrator , Design , Data Analysis , Data Analyst , Dba , Database Admin"
462,Data Analyst,Advance Jobs Private Limited,4-8 Years,"Delhi, Noida","  Data Analyst , Data Analysis , data collection systems , Data Quality"
463,work from home data entry typing & writing jobs.,Sky Work Solution,0-3 Years,"Bengaluru / Bangalore, Chennai","  Typing , Data Entry"
464,Online Data Entry Work From Home Computer Operator Data Entry Work From Home Jobs Data Entry Jobs,Company Name Confidential,0-5 Years,"Kolkata, Mumbai, Mumbai City, Navi Mumbai, Thane","  Data Entry , Back Office , Non voice , Backend , Back Office Executive , Office Assistant"
465,"online data entry work from home, data entry, online job from home, data entry job vacancy available",Company Name Confidential,0-5 Years,"Delhi, Hyderabad / Secunderabad","  Data Entry , Back Office , Non voice , Backend , Back Office Executive , Office Assistant"
466,"Home Based Job, Simple Data Entry Work, Work From Home, Online Data Entry, Home Based Data Entry Job",Company Name Confidential,0-5 Years,"Chennai, Mumbai, Mumbai City, Navi Mumbai, Thane","  Data Entry , Back Office , Non voice , Backend , Back Office Executive , Office Assistant"
467,Online & offline Data Entry Jobs - Work From Home Jobs ...,Sky Work Solution,0-3 Years,"Hubli, Thrissur","  Typing Speed , Data Entry"
468,"Home Based Online Job, Data Entry, Work From Home, Online Job, Online Data Entry Job, Data Entry Job",Company Name Confidential,0-5 Years,"Chennai, Hyderabad / Secunderabad","  Data Entry , Back Office , Non voice , Backend , Back Office Executive , Office Assistant"
469,Data Entry Jobs Work From Home Online Data Entry Work From Home Data Entry Work From Home Jobs,Company Name Confidential,0-5 Years,"Chennai, Kolkata","  Data Entry , Back Office , Non voice , Backend , Back Office Executive , Office Assistant"
470,DATA ANALYST,Advance Jobs Private Limited,3-8 Years,"Delhi, Gurgaon / Gurugram","  Data Analyst , R , Data Analytics , Python , Scala , Spark , SAS"
471,"Online Data Entry Jobs, Work at Home Jobs, Simple Typing Jobs, Data Entry Jobs, Work From Home Jobs",Company Name Confidential,0-5 Years,"Hyderabad / Secunderabad, Mumbai, Mumbai City, Navi Mumbai, Thane","  Position: Fresher , Data Entry Operator , Data Entry , Online Job , Part Time Job"
472,Online Data Entry Jobs - Work From Home - Part Time Job - Data Entry .,Sky Work Solution,0-3 Years,"Bengaluru / Bangalore, Navi Mumbai","  Typing , Data Entry"
473,"Online Data Entry Jobs, Work From Home Jobs, Data Entry Jobs, Part Time Jobs",Company Name Confidential,0-5 Years,"Bengaluru / Bangalore, Hyderabad / Secunderabad","  Work From Home , Data Entry , Data Entry Operator , Part Time Work From Home Part Time Job"
474,Data Science AI Specialist,A Thingz Solutions Private Limited,6-10 Years,"Hyderabad / Secunderabad, Visakhapatnam","  Data Science , Artificial Intelligence"
